Date,Topic,Owner,Type,PV,TA,num_follower,num_unfollow,net_follower_change,category,word_count,num_pictures,episode,greater_1k,weekday,num_readers,num_sub_read,num_moment,num_favorites,share_rate,promo_rate,sub_read_rate,moments_read_rate
4/9/18,探索细胞未知世界：接地气的OMX,Wang Cong,Product,604,34,31,7,24,Cell,641,6,0,0,1,668,232,295,11,0.056291391,0.705882353,0.347305389,0.441616766
4/10/18,Cell fun club | 从基础研究走向GMP生产的WAVE,Gu Jing,Product,869,68,24,10,14,BP,914,11,Cell fun club,0,2,797,249,436,17,0.078250863,0.205882353,0.312421581,0.547051443
4/11/18,好柱知时节 当春乃发声 ——分子筛最新柱型大全,Qing tian zhu,Product,1276,93,39,12,27,Consumerable,451,7,0,1,3,1392,320,938,29,0.072884013,0.290322581,0.229885057,0.673850575
4/12/18,分子筛，你今天保养了吗,Qing tian zhu,Tips,1765,160,79,8,71,Consumerable,1426,4,0,1,4,1696,453,884,66,0.090651558,0.44375,0.267099057,0.521226415
4/13/18,GE携16款智慧型创新成果亮相2018春季CMEF,GE医疗,News,408,12,37,10,27,Branding,2702,13,0,0,5,873,294,407,31,0.029411765,2.25,0.336769759,0.466208477
4/16/18,GE细胞成像技术研讨会暨DeltaVision Ultra新产品发布,GE生命科学,Product,1052,114,9,3,6,Branding,588,4,0,1,1,708,200,328,10,0.108365019,0.052631579,0.282485876,0.463276836
4/17/18,Cell fun club | WAVE 25实验参数推荐一起摇摆,Gu Jing,Tips,547,53,34,8,26,BP,760,6,Cell fun club,0,2,883,208,501,15,0.096892139,0.490566038,0.235560589,0.567383918
4/18/18,Ä爱纯派|层析样品的澄清过滤,Li Xiaojing,Tips,921,57,23,6,17,AKTA,1374,5,Ä爱纯派,0,3,912,393,318,27,0.061889251,0.298245614,0.430921053,0.348684211
4/19/18,蛋白酶去除小妙招,Qing tian zhu,Tips,789,40,17,7,10,Consumerable,373,2,0,0,4,1011,464,342,27,0.050697085,0.25,0.458951533,0.338278932
4/20/18,Easy Biacore| 捕获法检测抗原抗体SOP了解一下,Pu Heng & Wu JW,Tips,799,60,26,11,15,Biacore,776,5,0,0,5,880,344,333,26,0.075093867,0.25,0.390909091,0.378409091
4/23/18,KUBio新品来啦 | GE发布新型“乐高式”工厂KUBio BSL2,GE生命科学,News,2460,164,36,4,32,Branding,1035,2,0,1,1,2046,363,1438,23,0.066666667,0.195121951,0.177419355,0.7028348
4/24/18,Cell fun club | HyClone家族新疫苗培养基上市,Liu Wentao,Product,966,102,40,6,34,BP,750,6,Cell fun club,0,2,1544,254,1012,27,0.105590062,0.333333333,0.164507772,0.655440415
4/25/18,Ä爱纯派|中空纤维在新型制剂无菌过滤中的应用,Zhang Yu,Tips,452,31,21,8,13,AKTA,705,4,Ä爱纯派,0,3,686,275,262,17,0.068584071,0.419354839,0.400874636,0.381924198
4/26/18,样品脱盐，这一个就够了,Qing tian zhu,Product,786,39,23,11,12,Consumerable,315,2,0,0,4,763,457,151,18,0.049618321,0.307692308,0.598951507,0.197903014
4/27/18,2018 Biacore分子互作技术精英汇邀请函,GE生命科学,Conference,529,25,27,10,17,Branding,506,3,0,0,5,784,356,272,14,0.047258979,0.68,0.454081633,0.346938776
5/2/18,哥（GE）家细胞影像用户研讨会暨DeltaVision Ultra新品发布圆满落幕,GE生命科学,Product,551,34,25,12,13,Branding,1291,8,0,0,3,544,191,264,8,0.061705989,0.382352941,0.351102941,0.485294118
5/3/18,有了Crude 直接上样不是梦,Qing tian zhu,Product,727,33,27,13,14,Consumerable,408,3,0,0,4,686,337,245,7,0.045392022,0.424242424,0.491253644,0.357142857
5/4/18,疏水层析，你用对了吗？,Dong Min,Tips,1475,124,27,5,22,Consumerable,1628,9,0,1,5,1082,477,421,49,0.084067797,0.177419355,0.440850277,0.38909427
5/7/18,2018 GE生命科学创新论坛（郑州站）邀请函,GE医疗,Conference,618,22,17,8,9,Branding,323,3,0,0,1,574,353,104,8,0.035598706,0.409090909,0.614982578,0.181184669
5/8/18,Bioprocess Insights | 2018年全球生物制药市场趋势大咖如是说,Fuxin,Conference,638,15,22,10,12,BP,2346,1,Bioprocess Insights,0,2,697,405,183,9,0.023510972,0.8,0.581061693,0.262553802
5/9/18,Ä爱纯派 |在线分享：自动化多步层析——节约时间，提高效能的利器,Liu Chang,Tips,1232,93,36,11,25,AKTA,1010,1,Ä爱纯派,1,3,1264,375,657,15,0.075487013,0.268817204,0.296677215,0.519778481
5/10/18,镍柱的清洗和保养,Qing tian zhu,Tips,1409,149,53,10,43,Consumerable,844,1,0,1,4,1408,543,537,72,0.105748758,0.288590604,0.385653409,0.381392045
5/11/18,经典互作，大有作为—2018 Biacore分子互作技术精英汇在京成功举办,GE生命科学,Conference,860,41,34,8,26,Branding,1528,10,0,0,5,1068,428,475,27,0.047674419,0.634146341,0.400749064,0.444756554
5/14/18,GE邀您5月相聚申城，共促产业发展,GE生命科学,Conference,716,34,19,5,14,Branding,790,3,0,0,1,783,399,199,10,0.047486034,0.411764706,0.509578544,0.254150702
5/16/18,哎哟 我的柱子 ——你也在被柱子进气和塌柱困扰吗,Qing tian zhu,Tips,1592,123,60,12,48,Consumerable,1527,2,0,1,3,1265,539,494,48,0.077261307,0.390243902,0.426086957,0.390513834
5/17/18,Bioprocess Insights | 2018生物制药产业化和法规研讨会与您邀约,GE生命科学,Conference,1667,136,38,7,31,Branding,389,2,Bioprocess Insights,1,4,1493,400,853,35,0.081583683,0.227941176,0.267916946,0.571332887
5/18/18,Biacore经典文章赏析 | DNA与蛋白相互作用,Luo Ming,Tech,1063,64,26,4,22,Biacore,799,3,0,1,5,1059,382,501,23,0.060206961,0.34375,0.360717658,0.473087819
5/21/18,C-pro的一次性套件,Carray Tang,Product,383,12,21,7,14,Cell,400,6,0,0,1,937,317,400,12,0.031331593,1.166666667,0.338313767,0.426894344
5/22/18,小福说|膜法就是这么回事啦！,Wu Zhi Jie,N.A.,530,18,41,7,34,BP,813,3,小福说,0,2,818,333,295,10,0.033962264,1.888888889,0.407090465,0.360635697
5/23/18,Ä爱纯派|听说你错过了这场自动化多步层析的分享,Liu Chang,Tech,961,61,22,5,17,AKTA,1623,17,Ä爱纯派,0,3,1045,359,518,31,0.063475546,0.278688525,0.34354067,0.49569378
5/24/18,挑选吧！空柱,Qing tian zhu,Product,1037,50,25,8,17,Consumerable,619,2,0,1,4,1130,465,535,31,0.048216008,0.34,0.411504425,0.473451327
5/28/18,听说Whatman开了一场会,Chao,Conference,3206,129,25,5,20,Consumerable,1559,1,0,1,1,2798,478,2020,8,0.040237056,0.15503876,0.170836312,0.721944246
5/29/18,小福说|难忘那些Rock的光辉岁月,Wu Zhi Jie ,N.A.,378,10,30,10,20,BP,911,4,小福说,0,2,1086,285,650,6,0.026455026,2,0.262430939,0.598526703
5/30/18,小核酸，大玩家,Pan Shun,Product,985,43,17,9,8,AKTA,2205,11,0,0,3,843,369,362,6,0.043654822,0.186046512,0.43772242,0.429418743
